"","triToken","Ranking"
"976","think i am",1154
"977","they shouldnt have",1154
"978","them in the",1154
"979","the words to",1154
"980","the way up",1154
"981","the way to",1154
"982","the way i",1154
"983","the time i",1154
"984","the things you",1154
"985","the sun is",1154
"986","the show tonight",1154
"987","the shout out",1154
"988","the same without",1154
"989","the same way",1154
"990","the same i",1154
"991","the rt i",1154
"992","the rt and",1154
"993","the risk of",1154
"994","the only thing",1154
"995","the last one",1154
"996","the last day",1154
"997","the history of",1154
"998","the future of",1154
"999","the fuck up",1154
"1000","the first thing",1154
"1001","the first round",1154
"1002","the first place",1154
"1003","the face of",1154
"1004","the death of",1154
"1005","the dark side",1154
"1006","the best way",1154
"1007","the best i",1154
"1008","the awkward moment",1154
"1009","the art of",1154
"1010","the answer is",1154
"1011","the age of",1154
"1012","thats why i",1154
"1013","that will be",1154
"1014","that was some",1154
"1015","that make me",1154
"1016","that is so",1154
"1017","that i was",1154
"1018","that i dont",1154
"1019","thanks to for",1154
"1020","thanks to all",1154
"1021","thanks for your",1154
"1022","thanks for this",1154
"1023","thanks for all",1154
"1024","thank you everyone",1154
"1025","tell me its",1154
"1026","team in the",1154
"1027","talking about the",1154
"1028","talk to the",1154
"1029","talk about it",1154
"1030","take advantage of",1154
"1031","take a picture",1154
"1032","still looking for",1154
"1033","step at a",1154
"1034","stay tuned for",1154
"1035","state of the",1154
"1036","st patricks day",1154
"1037","some kind of",1154
"1038","so much more",1154
"1039","so i know",1154
"1040","so i am",1154
"1041","so good to",1154
"1042","so glad to",1154
"1043","sick to my",1154
"1044","show your support",1154
"1045","show on the",1154
"1046","shades of grey",1154
"1047","sent you a",1154
"1048","send me a",1154
"1049","seen you in",1154
"1050","see you all",1154
"1051","see you again",1154
"1052","see all the",1154
"1053","same damn time",1154
"1054","rt thanks for",1154
"1055","right now thanks",1154
"1056","right about now",1154
"1057","rest of my",1154
"1058","really want to",1154
"1059","really want a",1154
"1060","really looking forward",1154
"1061","quote of the",1154
"1062","pretty sure i",1154
"1063","please please please",1154
"1064","plans for the",1154
"1065","people like you",1154
"1066","people in the",1154
"1067","over the next",1154
"1068","out with my",1154
"1069","out to the",1154
"1070","out of that",1154
"1071","out of bed",1154
"1072","or what you",1154
"1073","one step at",1154
"1074","one of them",1154
"1075","on your website",1154
"1076","on what to",1154
"1077","on this day",1154
"1078","on the floor",1154
"1079","on my tv",1154
"1080","on my list",1154
"1081","on how to",1154
"1082","on a plane",1154
"1083","oh my gosh",1154
"1084","oh my god",1154
"1085","of you and",1154
"1086","of working on",1154
"1087","of the game",1154
"1088","of the first",1154
"1089","of our lives",1154
"1090","of my work",1154
"1091","of my followers",1154
"1092","of my favorites",1154
"1093","now thanks for",1154
"1094","now i just",1154
"1095","not too late",1154
"1096","not the same",1154
"1097","next to me",1154
"1098","never heard of",1154
"1099","needs to be",1154
"1100","need to talk",1154
"1101","need to come",1154
"1102","need to catch",1154
"1103","need someone to",1154
"1104","my phone is",1154
"1105","my house and",1154
"1106","my favorite color",1154
"1107","must be in",1154
"1108","much to do",1154
"1109","much as you",1154
"1110","mothers day to",1154
"1111","most of my",1154
"1112","more than that",1154
"1113","might be a",1154
"1114","met you and",1154
"1115","meant to be",1154
"1116","me your email",1154
"1117","me too rt",1154
"1118","me to go",1154
"1119","me thank you",1154
"1120","me know when",1154
"1121","me if you",1154
"1122","me if i",1154
"1123","me i love",1154
"1124","me i know",1154
"1125","me i am",1154
"1126","me back i",1154
"1127","many of you",1154
"1128","make the world",1154
"1129","make my day",1154
"1130","make a wish",1154
"1131","love your music",1154
"1132","love to see",1154
"1133","love that i",1154
"1134","love it im",1154
"1135","lot of people",1154
"1136","look like a",1154
"1137","lol i know",1154
"1138","little more than",1154
"1139","listen to the",1154
"1140","like a good",1154
"1141","life is a",1154
"1142","last time i",1154
"1143","last night was",1154
"1144","last night at",1154
"1145","last night and",1154
"1146","knows how to",1154
"1147","know what is",1154
"1148","know that you",1154
"1149","know that i",1154
"1150","know if youre",1154
"1151","know each other",1154
"1152","keep up with",1154
"1153","keep it up",1154
"1154","just what i",1154
"1155","just trying to",1154
"1156","just saw a",1154
"1157","just met you",1154
"1158","just in case",1154
"1159","just got a",1154
"1160","john c maxwell",1154
"1161","ive never been",1154
"1162","its not that",1154
"1163","its my birthday",1154
"1164","its hard for",1154
"1165","its all about",1154
"1166","its a very",1154
"1167","it was worth",1154
"1168","it was really",1154
"1169","it was great",1154
"1170","it was good",1154
"1171","it was and",1154
"1172","it was an",1154
"1173","it up on",1154
"1174","it to you",1154
"1175","it to be",1154
"1176","it thanks for",1154
"1177","it sounds like",1154
"1178","it looks like",1154
"1179","it like a",1154
"1180","it is so",1154
"1181","it is i",1154
"1182","it i want",1154
"1183","it i love",1154
"1184","it i am",1154
"1185","it all i",1154
"1186","is up with",1154
"1187","is the day",1154
"1188","is talking about",1154
"1189","is not an",1154
"1190","is making me",1154
"1191","is it possible",1154
"1192","is it just",1154
"1193","is coming to",1154
"1194","is coming out",1154
"1195","is better then",1154
"1196","is at the",1154
"1197","is all i",1154
"1198","is a win",1154
"1199","is a lot",1154
"1200","is a little",1154
"1201","is a huge",1154
"1202","into a movie",1154
"1203","in time for",1154
"1204","in the summer",1154
"1205","in the s",1154
"1206","in the right",1154
"1207","in the office",1154
"1208","in the near",1154
"1209","in the mood",1154
"1210","in the mirror",1154
"1211","in the league",1154
"1212","in the house",1154
"1213","in the head",1154
"1214","in the face",1154
"1215","in my head",1154
"1216","in my face",1154
"1217","in my bed",1154
"1218","in just a",1154
"1219","in honor of",1154
"1220","in a good",1154
"1221","im so glad",1154
"1222","im on twitter",1154
"1223","im on a",1154
"1224","im not a",1154
"1225","im here to",1154
"1226","im gonna have",1154
"1227","im done with",1154
"1228","im back in",1154
"1229","im a huge",1154
"1230","if youre not",1154
"1231","if you think",1154
"1232","if you love",1154
"1233","if you like",1154
"1234","if you didnt",1154
"1235","if we can",1154
"1236","if so what",1154
"1237","if its not",1154
"1238","if i ever",1154
"1239","i would like",1154
"1240","i would have",1154
"1241","i will have",1154
"1242","i will follow",1154
"1243","i was too",1154
"1244","i was thinking",1154
"1245","i was doing",1154
"1246","i was at",1154
"1247","i want you",1154
"1248","i wanna go",1154
"1249","i wake up",1154
"1250","i use to",1154
"1251","i try to",1154
"1252","i tried to",1154
"1253","i think your",1154
"1254","i still have",1154
"1255","i saw you",1154
"1256","i said that",1154
"1257","i remember when",1154
"1258","i really wish",1154
"1259","i really need",1154
"1260","i really hope",1154
"1261","i really dont",1154
"1262","i owe you",1154
"1263","i need someone",1154
"1264","i need it",1154
"1265","i missed you",1154
"1266","i missed it",1154
"1267","i miss u",1154
"1268","i may have",1154
"1269","i love him",1154
"1270","i look forward",1154
"1271","i live in",1154
"1272","i know youre",1154
"1273","i know right",1154
"1274","i know my",1154
"1275","i know it",1154
"1276","i know im",1154
"1277","i just realized",1154
"1278","i just need",1154
"1279","i just met",1154
"1280","i just made",1154
"1281","i just heard",1154
"1282","i just have",1154
"1283","i just did",1154
"1284","i hope to",1154
